"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jul 14 22:18:35 GMT 2024","Sun Jul 14 22:18:35 GMT 2024","0","","com.tests.lesson12_parametrizedTests.SimpleWebTest","","com.tests.lesson12_parametrizedTests.SimpleWebTest","searchTest","searchTest(String)",""
"skipped","Sun Jul 14 22:18:55 GMT 2024","Sun Jul 14 22:18:55 GMT 2024","0","","com.tests.lesson9_PageObject.tests.TextBoxTests","","com.tests.lesson9_PageObject.tests.TextBoxTests","textBoxFormTest","Проверка заполнения формы",""
"passed","Sun Jul 14 22:18:42 GMT 2024","Sun Jul 14 22:18:44 GMT 2024","2494","","com.tests.lesson13_fileDownloadTests.FileDownloadTest","","com.tests.lesson13_fileDownloadTests.FileDownloadTest","downloadTest","downloadTest()",""
"skipped","Sun Jul 14 22:18:32 GMT 2024","Sun Jul 14 22:18:32 GMT 2024","0","","com.tests.lesson12_parametrizedTests.HwParametrizedTests","","com.tests.lesson12_parametrizedTests.HwParametrizedTests","habrLocaleTest","habrLocaleTest(HabrLocale, List)",""
"passed","Sun Jul 14 22:18:52 GMT 2024","Sun Jul 14 22:18:53 GMT 2024","1686","","com.tests.lesson3_selenideTests.GithubWebTests","","com.tests.lesson3_selenideTests.GithubWebTests","isSolntsevFirstContributorLambdaTest","isSolntsevFirstContributorLambdaTest()",""
"skipped","Sun Jul 14 22:18:44 GMT 2024","Sun Jul 14 22:18:44 GMT 2024","0","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","xlsParsingTest","xlsParsingTest()",""
"skipped","Sun Jul 14 22:18:35 GMT 2024","Sun Jul 14 22:18:35 GMT 2024","0","","com.tests.lesson12_parametrizedTests.SimpleWebTest","","com.tests.lesson12_parametrizedTests.SimpleWebTest","searchWithFirstResultCheckTest","searchWithFirstResultCheckTest(String, String)",""
"skipped","Sun Jul 14 22:18:35 GMT 2024","Sun Jul 14 22:18:35 GMT 2024","0","","Простые демонстрационные тесты","","com.tests.lesson12_parametrizedTests.SimpleTest","simpleTest","Проверка корректности работы метода",""
"skipped","Sun Jul 14 22:18:53 GMT 2024","Sun Jul 14 22:18:53 GMT 2024","0","","com.tests.lesson3_selenideTests.HerokuAppTests","","com.tests.lesson3_selenideTests.HerokuAppTests","DragNDropWithSelenideTest","DragNDropWithSelenideTest()",""
"passed","Sun Jul 14 22:18:53 GMT 2024","Sun Jul 14 22:18:55 GMT 2024","1557","","com.tests.lesson3_selenideTests.Homework3Tests","","com.tests.lesson3_selenideTests.Homework3Tests","SoftAssertionsExistTest","SoftAssertionsExistTest()",""
"skipped","Sun Jul 14 22:18:53 GMT 2024","Sun Jul 14 22:18:53 GMT 2024","0","","com.tests.lesson3_selenideTests.HerokuAppTests","","com.tests.lesson3_selenideTests.HerokuAppTests","DragNDropWithActionsTest","DragNDropWithActionsTest()",""
"skipped","Sun Jul 14 22:18:44 GMT 2024","Sun Jul 14 22:18:44 GMT 2024","0","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","zipParsingTest","zipParsingTest()",""
"skipped","Sun Jul 14 22:18:44 GMT 2024","Sun Jul 14 22:18:44 GMT 2024","0","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","fileParsingTest","fileParsingTest()",""
"skipped","Sun Jul 14 22:18:44 GMT 2024","Sun Jul 14 22:18:44 GMT 2024","0","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","csvParsingTest","csvParsingTest()",""
"skipped","Sun Jul 14 22:18:44 GMT 2024","Sun Jul 14 22:18:44 GMT 2024","0","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","jsonParsingTest","jsonParsingTest()",""
"passed","Sun Jul 14 22:18:35 GMT 2024","Sun Jul 14 22:18:42 GMT 2024","6639","","com.tests.lesson13_fileDownloadTests.FileDownloadTest","","com.tests.lesson13_fileDownloadTests.FileDownloadTest","uploadTest","uploadTest()",""
"passed","Sun Jul 14 22:18:35 GMT 2024","Sun Jul 14 22:18:35 GMT 2024","735","","com.tests.lesson12_parametrizedTests.SelenideLocaleWebTest","","com.tests.lesson12_parametrizedTests.SelenideLocaleWebTest","selenideLocaleWebTest","selenideLocaleWebTest(SelenideLocale, List) Для локали Ru на сайте https://selenide.org/ должен отображаться список кнопок [С чего начать?, Док, ЧАВО, Блог, Javadoc, Пользователи, Отзывы]",""
"skipped","Sun Jul 14 22:18:35 GMT 2024","Sun Jul 14 22:18:35 GMT 2024","0","","com.tests.lesson12_parametrizedTests.SimpleWebTest","","com.tests.lesson12_parametrizedTests.SimpleWebTest","photoSearchTest","Проверка числа результатов в поиске",""
"passed","Sun Jul 14 22:18:44 GMT 2024","Sun Jul 14 22:18:44 GMT 2024","50","","com.tests.lesson13_fileDownloadTests.parsing.HwJsonParsingTest","","com.tests.lesson13_fileDownloadTests.parsing.HwJsonParsingTest","jsonParsingTest","jsonParsingTest()",""
"passed","Sun Jul 14 22:18:49 GMT 2024","Sun Jul 14 22:18:52 GMT 2024","3077","","com.tests.lesson3_selenideTests.GithubWebTests","","com.tests.lesson3_selenideTests.GithubWebTests","validation","validation()",""
"skipped","Sun Jul 14 22:18:32 GMT 2024","Sun Jul 14 22:18:32 GMT 2024","0","","com.tests.lesson12_parametrizedTests.HwParametrizedTests","","com.tests.lesson12_parametrizedTests.HwParametrizedTests","wikipediaSearchTest","wikipediaSearchTest(String)",""
"skipped","Sun Jul 14 22:18:44 GMT 2024","Sun Jul 14 22:18:44 GMT 2024","0","","com.tests.lesson13_fileDownloadTests.parsing.HwFileParsingTest","","com.tests.lesson13_fileDownloadTests.parsing.HwFileParsingTest","zipParsingTest","zipParsingTest()",""
"skipped","Sun Jul 14 22:18:55 GMT 2024","Sun Jul 14 22:18:55 GMT 2024","0","","com.tests.lesson9_PageObject.tests.PracticeFormTests","","com.tests.lesson9_PageObject.tests.PracticeFormTests","formValidation","formValidation()",""
"skipped","Sun Jul 14 22:18:32 GMT 2024","Sun Jul 14 22:18:32 GMT 2024","0","","com.tests.lesson12_parametrizedTests.HwParametrizedTests","","com.tests.lesson12_parametrizedTests.HwParametrizedTests","percentCalcTest","percentCalcTest(String, String, String)",""
"skipped","Sun Jul 14 22:18:44 GMT 2024","Sun Jul 14 22:18:44 GMT 2024","0","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","","com.tests.lesson13_fileDownloadTests.parsing.FileParsingTest","jsonCleverTest","jsonCleverTest()",""
"skipped","Sun Jul 14 22:18:53 GMT 2024","Sun Jul 14 22:18:53 GMT 2024","0","","com.tests.lesson3_selenideTests.HerokuAppTests","","com.tests.lesson3_selenideTests.HerokuAppTests","RemoveElementsTest","RemoveElementsTest()","remove elements "
"passed","Sun Jul 14 22:18:32 GMT 2024","Sun Jul 14 22:18:35 GMT 2024","2523","","com.tests.lesson12_parametrizedTests.SelenideLocaleWebTest","","com.tests.lesson12_parametrizedTests.SelenideLocaleWebTest","selenideLocaleWebTest","selenideLocaleWebTest(SelenideLocale, List) Для локали En на сайте https://selenide.org/ должен отображаться список кнопок [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"passed","Sun Jul 14 22:18:44 GMT 2024","Sun Jul 14 22:18:49 GMT 2024","4117","","com.tests.lesson3_selenideTests.GithubWebTests","","com.tests.lesson3_selenideTests.GithubWebTests","HoverTest","HoverTest()","Homework 4"
